Company,Market Cap,Drug & Indication,Stage & Event,Catalyst Date
AZN,$215.2B,""Blenrep combinations (BVd & BPd) Multiple myeloma"",PDUFA (Adcomm),2025-07-17
VTRS,$10.42B,""MR-139 Blepharitis"",Phase 3 (Data readout),2025-07-18
BMY,$96.38B,""Reblozyl® (luspatercept-aamt) Myelofibrosis-Associated Anemia"",Phase 3 (Data readout),2025-07-18
LXRX,$446.7M,""Pilavapadin (LX9211) Diabetic peripheral neuropathy (DPNP)"",Phase 2b (Data readout),2025-07-19
RHHBY,$258.5B,""Columvi® + GemOx Diffuse large B cell lymphoma"",PDUFA (Approval decision),2025-07-20
REPL,$932M,""RP1 + Opdivo (nivolumab) Cancer Melanoma"",PDUFA (Approval decision),2025-07-22
AZN,$215.2B,""Blenrep combinations (BVd & BPd) Multiple myeloma"",PDUFA (Approval decision),2025-07-23
ASND,$10.28B,""TransCon hGH Adult growth hormone deficiency"",PDUFA (Approval decision),2025-07-27
NAMS,$2.492B,""Obicetrapib Alzheimer's disease"",Phase 2a (Data readout),2025-08-01
APLS,$2.447B,""EMPAVELI® (pegcetacoplan) C3 Glomerulopathy"",PDUFA (Approval decision),2025-07-28
PTCT,$3.775B,""Sephience (sepiapterin) Phenylketonuria"",PDUFA (Approval decision),2025-07-29
CRDF,$284.7M,""Onvansertib + SOC (FOLFIRI + bevacizumab or FOLFOX + bevacizumab) Colorectal cancer"",Phase 2 (Data readout),2025-07-29
REGN,$58.57B,""Odronextamab Follicular lymphoma DLBCL"",PDUFA (Approval decision),2025-07-30
IXHL,$57.15M,""IHL-42X Obstructive sleep apnoea (OSA)"",Phase 2 (Data readout),2025-07-01
ELDN,$221.6M,""Tegoprubart (AT-1501) Kidney transplantation"",Phase 1b (Data readout),2025-08-06
LENZ,$949.4M,""LNZ100 Presbyopia"",PDUFA (Approval decision),2025-08-08
INSM,$19.48B,""Brensocatib Non-Cystic Fibrosis Bronchiectasis"",PDUFA (Approval decision),2025-08-12
PSTV,$18.95M,""REYOBIQ (Rhenium Re186 Obisbemeda) Leptomeningeal Metastases (LM)"",Phase 1/2 (Data readout),2025-08-01
